"protein_A","protein_B"
"Actr2","Syn1"
"Actr2","Timm13"
"Actr2","Ube3a"
"Actr2","Zranb2"
"Actr3","Agl"
"Actr3","Aldh1a2"
"Actr3","Aldh1b1"
"Actr3","Aldoc"
"Actr3","Arfgap2"
"Actr3","Arih1"
"Actr3","Arpc1a"
"Actr3","Arpc1b"
"Actr3","Arpc2"
"Actr3","Arpc3"
"Actr3","Arpc5"
"Actr3","Arpc5l"
"Actr3","Btf3"
"Actr3","Btf3l4"
"Actr3","Cfdp1"
"Actr3","Coro1a"
"Actr3","Coro1c"
"Actr3","Coro7"
"Actr3","Creld2"
"Actr3","Dennd5b"
"Actr3","Dpysl5"
"Actr3","Dr1"
"Actr3","Drg2"
"Actr3","Entpd5"
"Actr3","Ero1a"
"Actr3","Fam129b"
"Actr3","Fubp1"
"Actr3","Gdi1"
"Actr3","Gmpr"
"Actr3","Gmpr2"
"Actr3","Grpel1"
"Actr3","Gtf2f1"
"Actr3","Hars"
"Actr3","Hmgcs1"
"Actr3","Hypk"
"Actr3","Iars2"
"Actr3","Igh-3"
"Actr3","Kiaa0513"
"Actr3","Kif1bp"
"Actr3","Mapre2"
"Actr3","Mut"
"Actr3","Naa10"
"Actr3","Naa15"
"Actr3","Naca"
"Actr3","P4hb"
"Actr3","Pdia6"
"Actr3","Pfas"
"Actr3","Pgam2"
"Actr3","Pkm"
"Actr3","Plaa"
"Actr3","Plcg1"
"Actr3","Ppm1b"
"Actr3","Ppp2r5d"
"Actr3","Rab3a"
"Actr3","Rab6b"
"Actr3","Rad23a"
"Actr3","Rcn1"
"Actr3","Rprd1b"
"Actr3","Sgta"
"Actr3","Stat5b"
"Actr3","Timm13"
"Actr3","Uba6"
"Actr3","Ube3a"
"Actr3","Zranb2"
"Actr3b","Arih1"
"Actr3b","Marcks"
"Actr3b","P4hb"
"Actr3b","Syn1"
"Acy1","Ahcy"
"Acy1","Aldh7a1"
"Acy1","Aldoa"
"Acy1","Asl"
"Acy1","Atg3"
"Acy1","Atic"
"Acy1","Ces1c"
"Acy1","Cfap36"
"Acy1","Ckb"
"Acy1","Dcps"
"Acy1","Dtd1"
"Acy1","Ech1"
"Acy1","Eef2"
"Acy1","Eif5"
"Acy1","Eno2"
"Acy1","Ephx2"
"Acy1","Etnppl"
